"scientificName","PlantGrowthForm","LeafType","LeafPhenology","PhotosyntheticPathway","ClimateZone","param_count_before","param_count_after","PFT","AccSpeciesName","taxonomicStatus","New.accepted","scientificNameAuthorship","genus","taxonRank","family","taxonID","references","source"
"Abrus precatorius","shrub","broadleaved","deciduous","C3",NA,4,4,"DSH","Abrus precatorius","Accepted",FALSE,"L.","Abrus","species","Fabaceae","wfo-0000178702","https://www.legumedata.org/taxonomy/taxon/2610328","The Fabaceae TEN - Legume Taxonomy Working Group"
"Abutilon angulatum","herb/shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Abutilon angulatum","Accepted",FALSE,"(Guill. & Perr.) Mast.","Abutilon","species","Malvaceae","wfo-0000511722",NA,"The Malvaceae TEN"
"Acacia auriculiformis","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Acacia auriculiformis","Accepted",FALSE,"A.Cunn. ex Benth.","Acacia","species","Fabaceae","wfo-0000173754","https://www.legumedata.org/taxonomy/taxon/2611367","The Fabaceae TEN - Legume Taxonomy Working Group"
"Acacia cyclops","shrub/tree","broadleaved","deciduous","C3",NA,4,4,"BDT","Acacia cyclops","Accepted",FALSE,"A.Cunn. ex G.Don","Acacia","species","Fabaceae","wfo-0000192127","https://www.legumedata.org/taxonomy/taxon/2611847","The Fabaceae TEN - Legume Taxonomy Working Group"
"Acacia dealbata","shrub/tree","broadleaved","evergreen","C3","temperate",4,5,"BET-Te","Acacia dealbata","Accepted",FALSE,"Link","Acacia","species","Fabaceae","wfo-0000192338","https://www.legumedata.org/taxonomy/taxon/2611879","The Fabaceae TEN - Legume Taxonomy Working Group"
"Acacia longifolia","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Acacia longifolia","Accepted",FALSE,"(Andrews) Willd.","Acacia","species","Fabaceae","wfo-0000210768","https://www.legumedata.org/taxonomy/taxon/2612825","The Fabaceae TEN - Legume Taxonomy Working Group"
"Acacia saligna","shrub/tree","broadleaved","evergreen","C3","temperate",4,5,"BET-Te","Acacia saligna","Accepted",FALSE,"(Labill.) H.L.Wendl.","Acacia","species","Fabaceae","wfo-0001054072","https://www.legumedata.org/taxonomy/taxon/2613720","The Fabaceae TEN - Legume Taxonomy Working Group"
"Acalypha bipartita","shrub","broadleaved","evergreen","C3",NA,3,4,"ESH","Acalypha bipartita","Accepted",FALSE,"M<fc>ll.Arg.","Acalypha","species","Euphorbiaceae","wfo-0000395839","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:337200-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Acalypha fruticosa","shrub","broadleaved","evergreen",NA,NA,2,3,"ESH","Acalypha fruticosa","Accepted",FALSE,"Forssk.","Acalypha","species","Euphorbiaceae","wfo-0000938659","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:337407-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Acalypha glabrata","shrub/tree","broadleaved","evergreen",NA,"tropical",2,4,"BET-Tr","Acalypha glabrata","Accepted",FALSE,"Thunb.","Acalypha","species","Euphorbiaceae","wfo-0000941130","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:337420-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Acanthosicyos horridus","shrub","without leaves","evergreen",NA,NA,2,3,"ESH","Acanthosicyos horridus","Accepted",FALSE,"Welw. ex Benth. & Hook.f.","Acanthosicyos","species","Cucurbitaceae","wfo-0000513768",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Achyranthes aspera","herb/shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Achyranthes aspera","Accepted",FALSE,"L.","Achyranthes","species","Amaranthaceae","wfo-0000516177",NA,"The Caryophyllales TEN -The Caryophyllales Network"
"Adansonia digitata","tree","broadleaved","deciduous","C3",NA,4,4,"BDT","Adansonia digitata","Accepted",FALSE,"L.","Adansonia","species","Malvaceae","wfo-0000519672",NA,"The Malvaceae TEN"
"Adenia cissampeloides","shrub","broadleaved","evergreen",NA,NA,0,3,"ESH","Adenia cissampeloides","Accepted",FALSE,"(Planch. ex Benth.) Harms","Adenia","species","Passifloraceae","wfo-0000519947",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Adenia kigogoensis","tree","broadleaved","evergreen",NA,"tropical",0,4,"BET-Tr","Adenia kigogoensis","Accepted",FALSE,"Hearn","Adenia","species","Passifloraceae","wfo-0000508292",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Adenia litoralis","tree","broadleaved","evergreen",NA,"tropical",0,4,"BET-Tr","Adenia litoralis","Accepted",FALSE,"Hearn","Adenia","species","Passifloraceae","wfo-0000508293",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Adenia lobata","shrub","broadleaved","deciduous",NA,NA,0,3,"DSH","Adenia lobata","Accepted",FALSE,"(Jacq.) Engl.","Adenia","species","Passifloraceae","wfo-0000520018",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Adenia mcdadeana","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Adenia mcdadiana","Accepted",FALSE,"Hearn","Adenia","species","Passifloraceae","wfo-0000508294",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Adenia metamorpha","shrub","broadleaved","evergreen",NA,NA,0,3,"ESH","Adenia metamorpha","Accepted",FALSE,"Hearn","Adenia","species","Passifloraceae","wfo-0000508295",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Adenium obesum","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Adenium obesum","Accepted",FALSE,"Roem. & Schult.","Adenium","species","Apocynaceae","wfo-0000764069",NA,"The Apocynaceae TEN"
"Afrocanthium kilifiense","tree","broadleaved","evergreen",NA,"tropical",NA,4,"BET-Tr","Afrocanthium kilifiense","Accepted",FALSE,"(Bridson) Lantz","Afrocanthium","species","Rubiaceae","wfo-0000335942","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77062251-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Afrocanthium pseudoverticillatum","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Afrocanthium pseudoverticillatum","Accepted",FALSE,"(S.Moore) Lantz","Afrocanthium","species","Rubiaceae","wfo-0000335950","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77062258-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Afrocarpus falcatus","tree","broadleaved","evergreen","C3","temperate",3,5,"BET-Te","Afrocarpus falcatus","Accepted",FALSE,"(Thunb.) C.N.Page","Afrocarpus","species","Podocarpaceae","wfo-0000522640","https://padme.rbge.org.uk/wfo/wfo-0000522640","The Conifer TEN"
"Afrostyrax lepidophyllus","tree","broadleaved","evergreen",NA,"tropical",2,4,"BET-Tr","Afrostyrax lepidophyllus","Accepted",FALSE,"Mildbr.","Afrostyrax","species","Huaceae","wfo-0000522690","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:826262-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Afzelia africana","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Intsia africana","Accepted",TRUE,"Sm. ex Pers.","Afzelia","species","Fabaceae","wfo-0000213207","https://www.legumedata.org/taxonomy/taxon/2624955","The Fabaceae TEN - Legume Taxonomy Working Group"
"Afzelia bella","tree","broadleaved","deciduous","C3",NA,3,4,"BDT","Afzelia bella","Accepted",FALSE,"Harms","Afzelia","species","Fabaceae","wfo-0000211757","https://www.legumedata.org/taxonomy/taxon/2624959","The Fabaceae TEN - Legume Taxonomy Working Group"
"Afzelia bipindensis","tree","broadleaved","evergreen","C3","tropical",3,5,"BET-Tr","Afzelia bipindensis","Accepted",FALSE,"Harms","Afzelia","species","Fabaceae","wfo-0000211767","https://www.legumedata.org/taxonomy/taxon/2624966","The Fabaceae TEN - Legume Taxonomy Working Group"
"Afzelia quanzensis","tree","broadleaved","deciduous","C3",NA,4,4,"BDT","Afzelia quanzensis","Accepted",FALSE,"Welw.","Afzelia","species","Fabaceae","wfo-0000211863","https://www.legumedata.org/taxonomy/taxon/2625002","The Fabaceae TEN - Legume Taxonomy Working Group"
"Aganope stuhlmannii","tree","broadleaved","deciduous",NA,NA,NA,3,"BDT","Aganope stuhlmannii","Accepted",FALSE,"(Taub.) Adema","Aganope","species","Fabaceae","wfo-0001033792","https://www.legumedata.org/taxonomy/taxon/2625261","The Fabaceae TEN - Legume Taxonomy Working Group"
"Agarista salicifolia","shrub/tree","broadleaved","evergreen","C3","tropical",3,5,"BET-Tr","Agarista salicifolia","Accepted",FALSE,"(Lam.) G.Don","Agarista","species","Ericaceae","wfo-0000523244","https://padme.rbge.org.uk/wfo/wfo-0000523244","The Ericaceae TEN"
"Agathosma abrupta","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Agathosma abrupta","Accepted",FALSE,"Pillans","Agathosma","species","Rutaceae","wfo-0000523316","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:770832-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Agrostis kilimandscharica","graminoid","broadleaved",NA,"C3",NA,2,3,"C3","Agrostis kilimandscharica","Accepted",FALSE,"Mez","Agrostis","species","Poaceae","wfo-0000843855","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:385891-1","The Poaceae TEN"
"Aidia acuminata","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Aidia acuminata","Accepted",FALSE,"(Blume) K.M.Wong","Aidia","species","Rubiaceae","wfo-0000928001","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77176661-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Aidia genipiflora","tree","broadleaved","deciduous",NA,NA,2,3,"BDT","Aidia genipiflora","Accepted",FALSE,"(DC.) Dandy","Aidia","species","Rubiaceae","wfo-0000931344","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:742960-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Aidia micrantha","tree","broadleaved","evergreen","C3","tropical",3,5,"BET-Tr","Aidia micrantha","Accepted",FALSE,"(K.Schum.) Bullock ex F.White","Aidia","species","Rubiaceae","wfo-0000931512","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:742963-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Alafia barteri","shrub","broadleaved","evergreen",NA,NA,2,3,"ESH","Alafia barteri","Accepted",FALSE,"Oliv.","Alafia","species","Apocynaceae","wfo-0000935957",NA,"The Apocynaceae TEN"
"Alafia microstylis","shrub","broadleaved","evergreen",NA,NA,2,3,"ESH","Alafia microstylis","Accepted",FALSE,"K.Schum.","Alafia","species","Apocynaceae","wfo-0000936262",NA,"The Apocynaceae TEN"
"Alangium chinense","tree","broadleaved","deciduous","C3",NA,4,4,"BDT","Alangium chinense","Accepted",FALSE,"(Lour.) Harms","Alangium","species","Cornaceae","wfo-0000936752","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:58133-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Alantsilodendron pilosum","tree","broadleaved","deciduous","C3",NA,2,4,"BDT","Alantsilodendron pilosum","Accepted",FALSE,"Villiers","Alantsilodendron","species","Fabaceae","wfo-0000195971","https://www.legumedata.org/taxonomy/taxon/2627138","The Fabaceae TEN - Legume Taxonomy Working Group"
"Albizia adianthifolia","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Albizia adianthifolia","Accepted",FALSE,"(Schumach.) W.Wight","Albizia","species","Fabaceae","wfo-0000179990","https://www.legumedata.org/taxonomy/taxon/2627221","The Fabaceae TEN - Legume Taxonomy Working Group"
"Albizia amara","tree","broadleaved","deciduous","C3",NA,3,4,"BDT","Albizia amara","Accepted",FALSE,"(Roxb.) Boivin","Albizia","species","Fabaceae","wfo-0001054132","https://www.legumedata.org/taxonomy/taxon/2627228","The Fabaceae TEN - Legume Taxonomy Working Group"
"Albizia anthelmintica","tree","broadleaved","deciduous","C3",NA,3,4,"BDT","Albizia anthelmintica","Accepted",FALSE,"(A.Rich.) Brongn.","Albizia","species","Fabaceae","wfo-0000181142","https://www.legumedata.org/taxonomy/taxon/2627234","The Fabaceae TEN - Legume Taxonomy Working Group"
"Albizia antunesiana","tree","broadleaved","deciduous","C3",NA,4,4,"BDT","Albizia antunesiana","Accepted",FALSE,"Harms","Albizia","species","Fabaceae","wfo-0000181247","https://www.legumedata.org/taxonomy/taxon/2627235","The Fabaceae TEN - Legume Taxonomy Working Group"
"Albizia chevalieri","tree","broadleaved","deciduous","C3",NA,3,4,"BDT","Albizia chevalieri","Accepted",FALSE,"Harms","Albizia","species","Fabaceae","wfo-0000181998","https://www.legumedata.org/taxonomy/taxon/2901757","The Fabaceae TEN - Legume Taxonomy Working Group"
"Albizia chinensis","tree","broadleaved","deciduous","C3",NA,4,4,"BDT","Albizia chinensis","Accepted",FALSE,"(Osbeck) Merr.","Albizia","species","Fabaceae","wfo-0000182103","https://www.legumedata.org/taxonomy/taxon/2627278","The Fabaceae TEN - Legume Taxonomy Working Group"
"Albizia coriaria","tree","broadleaved","deciduous","C3",NA,4,4,"BDT","Albizia coriaria","Accepted",FALSE,"Welw. ex Oliv.","Albizia","species","Fabaceae","wfo-0000179906","https://www.legumedata.org/taxonomy/taxon/2627290","The Fabaceae TEN - Legume Taxonomy Working Group"
"Albizia ferruginea","tree","broadleaved","deciduous","C3",NA,3,4,"BDT","Albizia ferruginea","Accepted",FALSE,"(Guill. & Perr.) Benth.","Albizia","species","Fabaceae","wfo-0000182621","https://www.legumedata.org/taxonomy/taxon/2627327","The Fabaceae TEN - Legume Taxonomy Working Group"
"Albizia gummifera","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Albizia gummifera","Accepted",FALSE,"(J.F.Gmel.) C.A.Sm.","Albizia","species","Fabaceae","wfo-0000183535","https://www.legumedata.org/taxonomy/taxon/2627355","The Fabaceae TEN - Legume Taxonomy Working Group"
"Albizia harveyi","tree","broadleaved","deciduous","C3",NA,3,4,"BDT","Albizia harveyi","Accepted",FALSE,"E.Fourn.","Albizia","species","Fabaceae","wfo-0000183848","https://www.legumedata.org/taxonomy/taxon/2627358","The Fabaceae TEN - Legume Taxonomy Working Group"
"Albizia malacophylla","tree","broadleaved","deciduous","C3",NA,4,4,"BDT","Albizia malacophylla","Accepted",FALSE,"(A.Rich.) Walp.","Albizia","species","Fabaceae","wfo-0000184703","https://www.legumedata.org/taxonomy/taxon/2627415","The Fabaceae TEN - Legume Taxonomy Working Group"
"Albizia schimperiana","tree","broadleaved","deciduous","C3",NA,4,4,"BDT","Albizia schimperiana","Accepted",FALSE,"Oliv.","Albizia","species","Fabaceae","wfo-0000186271","https://www.legumedata.org/taxonomy/taxon/2627528","The Fabaceae TEN - Legume Taxonomy Working Group"
"Albizia versicolor","tree","broadleaved","deciduous","C3",NA,3,4,"BDT","Albizia versicolor","Accepted",FALSE,"Welw. ex Oliv.","Albizia","species","Fabaceae","wfo-0000187086","https://www.legumedata.org/taxonomy/taxon/2627582","The Fabaceae TEN - Legume Taxonomy Working Group"
"Albizia zimmermannii","tree","broadleaved","deciduous","C3",NA,3,4,"BDT","Albizia zimmermannii","Accepted",FALSE,"Harms","Albizia","species","Fabaceae","wfo-0000187270","https://www.legumedata.org/taxonomy/taxon/2627597","The Fabaceae TEN - Legume Taxonomy Working Group"
"Albizia zygia","tree","broadleaved","deciduous","C3",NA,4,4,"BDT","Albizia zygia","Accepted",FALSE,"(DC.) J.F.Macbr.","Albizia","species","Fabaceae","wfo-0000173024","https://www.legumedata.org/taxonomy/taxon/2627598","The Fabaceae TEN - Legume Taxonomy Working Group"
"Alchemilla argyrophylla","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Alchemilla argyrophylla","Accepted",FALSE,"Oliv.","Alchemilla","species","Rosaceae","wfo-0000995373","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:721103-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Alchemilla johnstonii","shrub","broadleaved","deciduous",NA,NA,NA,3,"DSH","Alchemilla johnstonii","Accepted",FALSE,"Oliv.","Alchemilla","species","Rosaceae","wfo-0001003003","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:721135-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Alchemilla volkensii","shrub","broadleaved","deciduous",NA,NA,NA,3,"DSH","Alchemilla volkensii","Accepted",FALSE,"Engl.","Alchemilla","species","Rosaceae","wfo-0000983380","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:721168-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Alchornea cordifolia","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Alchornea cordifolia","Accepted",FALSE,"(Schumach.) M<fc>ll.Arg.","Alchornea","species","Euphorbiaceae","wfo-0000938571","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:338380-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Alchornea laxiflora","shrub/tree","broadleaved","evergreen",NA,"tropical",3,4,"BET-Tr","Alchornea laxiflora","Accepted",FALSE,"(Benth.) Pax & K.Hoffm.","Alchornea","species","Euphorbiaceae","wfo-0000939253","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:338418-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Allanblackia floribunda","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Allanblackia floribunda","Accepted",FALSE,"Oliv.","Allanblackia","species","Clusiaceae","wfo-0000525979","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:427040-1","cmp"
"Allanblackia stuhlmannii","tree","broadleaved","evergreen","C3","tropical",3,5,"BET-Tr","Allanblackia stuhlmannii","Accepted",FALSE,"(Engl.) Engl.","Allanblackia","species","Clusiaceae","wfo-0000525993","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:427050-1","cmp"
"Allocassine laurifolia","shrub","broadleaved","evergreen",NA,NA,2,3,"ESH","Allocassine laurifolia","Accepted",FALSE,"(Harv.) N.Robson","Allocassine","species","Celastraceae","wfo-0000526422","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:159957-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Allophylus africanus","shrub/tree","broadleaved","evergreen",NA,"tropical",2,4,"BET-Tr","Allophylus africanus","Accepted",FALSE,"P.Beauv.","Allophylus","species","Sapindaceae","wfo-0000526543",NA,"The Sapindaceae TEN"
"Allophylus cobbe","shrub","broadleaved","evergreen",NA,NA,3,3,"ESH","Allophylus cobbe","Accepted",FALSE,"(L.) Raeusch.","Allophylus","species","Sapindaceae","wfo-0000526604",NA,"The Sapindaceae TEN"
"Allophylus ferrugineus","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Allophylus ferrugineus","Accepted",FALSE,"Taub.","Allophylus","species","Sapindaceae","wfo-0000526668",NA,"The Sapindaceae TEN"
"Allophylus pervillei","tree","broadleaved","evergreen",NA,"tropical",2,4,"BET-Tr","Allophylus pervillei","Accepted",FALSE,"Blume","Allophylus","species","Sapindaceae","wfo-0000526819",NA,"The Sapindaceae TEN"
"Aloe littoralis","shrub/tree","broadleaved","evergreen",NA,"tropical",2,4,"BET-Tr","Aloe littoralis","Accepted",FALSE,"Baker","Aloe","species","Asphodelaceae","wfo-0000758416",NA,"The Asphodelaceae TEN"
"Aloe thraskii","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Aloe thraskii","Accepted",FALSE,"Baker","Aloe","species","Asphodelaceae","wfo-0000758919",NA,"The Asphodelaceae TEN"
"Alsophila camerooniana","tree","broadleaved","evergreen",NA,"tropical",NA,4,"BET-Tr","Cyathea camerooniana","Accepted",TRUE,"(Hook.) R.M.Tryon","Alsophila","species","Cyatheaceae","wfo-0001233276","https://pteridogroup.github.io/","Ferns and Allies TEN - the Pteridophyte Phylogeny Group (PPG)."
"Alstonia boonei","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Alstonia boonei","Accepted",FALSE,"De Wild.","Alstonia","species","Apocynaceae","wfo-0000951936",NA,"The Apocynaceae TEN"
"Ambavia capuronii","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Ambavia capuronii","Accepted",FALSE,"(Cavaco & Keraudren) Le Thomas","Ambavia","species","Annonaceae","wfo-0000530677","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:72021-1","The Annonaceae TEN"
"Amblygonocarpus andongensis","tree","broadleaved","deciduous","C3",NA,4,4,"BDT","Amblygonocarpus andongensis","Accepted",FALSE,"(Welw. ex Oliv.) Exell & Torre","Amblygonocarpus","species","Fabaceae","wfo-0000183953","https://www.legumedata.org/taxonomy/taxon/2633311","The Fabaceae TEN - Legume Taxonomy Working Group"
"Amphimas ferrugineus","tree","broadleaved","deciduous","C3",NA,3,4,"BDT","Amphimas ferrugineus","Accepted",FALSE,"Pierre ex Pellegr.","Amphimas","species","Fabaceae","wfo-0000211893","https://www.legumedata.org/taxonomy/taxon/2634690","The Fabaceae TEN - Legume Taxonomy Working Group"
"Amphimas pterocarpoides","tree","broadleaved","deciduous","C3",NA,4,4,"BDT","Amphimas pterocarpoides","Accepted",FALSE,"Harms","Amphimas","species","Fabaceae","wfo-0000211895","https://www.legumedata.org/taxonomy/taxon/2634692","The Fabaceae TEN - Legume Taxonomy Working Group"
"Amphitecna tuxtlensis","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Amphitecna tuxtlensis","Accepted",FALSE,"A.H.Gentry","Amphitecna","species","Bignoniaceae","wfo-0000780957","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:11664-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Ancylobothrys petersiana","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Ancylobothrys petersiana","Accepted",FALSE,"(Klotzsch) Pierre","Ancylobothrys","species","Apocynaceae","wfo-0000971019",NA,"The Apocynaceae TEN"
"Andira inermis","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Andira inermis","Accepted",FALSE,"(W.Wright) Kunth ex DC.","Andira","species","Fabaceae","wfo-0000171592","https://www.legumedata.org/taxonomy/taxon/2636921","The Fabaceae TEN - Legume Taxonomy Working Group"
"Andropogon pinguipes","graminoid","broadleaved",NA,"C4",NA,2,3,"C4","Andropogon pinguipes","Accepted",FALSE,"Stapf","Andropogon","species","Poaceae","wfo-0000847246","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:388376-1","The Poaceae TEN"
"Angylocalyx pynaertii","tree","broadleaved","evergreen","C3","tropical",3,5,"BET-Tr","Angylocalyx pynaertii","Accepted",FALSE,"De Wild.","Angylocalyx","species","Fabaceae","wfo-0000211905","https://www.legumedata.org/taxonomy/taxon/2639639","The Fabaceae TEN - Legume Taxonomy Working Group"
"Aningeria pierrei","tree","broadleaved","deciduous",NA,"tropical",NA,4,"BDT","Pouteria pierrei","Accepted",TRUE,"(A.Chev.) Aubr<e9>v. & Pellegr.","Aningeria","species","Sapotaceae","wfo-0000981497","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:785765-1","The Sapotaceae TEN"
"Anisophyllea boehmii","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Anisophyllea boehmii","Accepted",FALSE,"Engl.","Anisophyllea","species","Anisophylleaceae","wfo-0000537282","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:719460-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Anisotes sessiliflorus","shrub","broadleaved","evergreen",NA,NA,2,3,"ESH","Anisotes sessiliflorus","Accepted",FALSE,"(T.Anderson) C.B.Clarke","Anisotes","species","Acanthaceae","wfo-0000537491","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:45344-1","The Acanthaceae TEN"
"Annea afzelii","tree","broadleaved","evergreen","C3","tropical",NA,5,"BET-Tr","Hymenostegia afzelii","Accepted",TRUE,"(Oliv.) Mackinder & Wieringa","Annea","species","Fabaceae","wfo-0001337441","https://www.legumedata.org/taxonomy/taxon/2977031","The Fabaceae TEN - Legume Taxonomy Working Group"
"Annona mucosa","tree","broadleaved","evergreen",NA,"tropical",NA,4,"BET-Tr","Annona mucosa","Accepted",FALSE,"Jacq.","Annona","species","Annonaceae","wfo-0000537847","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:72259-1","The Annonaceae TEN"
"Annona senegalensis","shrub/tree","broadleaved","evergreen",NA,"tropical",3,4,"BET-Tr","Annona senegalensis","Accepted",FALSE,"Pers.","Annona","species","Annonaceae","wfo-0000537928","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:72309-1","The Annonaceae TEN"
"Anonidium mannii","tree","broadleaved","evergreen","C3","tropical",3,5,"BET-Tr","Anonidium mannii","Accepted",FALSE,"(Oliv.) Engl. & Diels","Anonidium","species","Annonaceae","wfo-0000538246","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:72347-1","The Annonaceae TEN"
"Anonychium africanum","tree","broadleaved","deciduous","C3",NA,NA,4,"BDT","Prosopis africana","Accepted",TRUE,"(Guill. & Perr.) C.E.Hughes & G.P.Lewis","Anonychium","species","Fabaceae","wfo-1000040059","https://www.legumedata.org/taxonomy/taxon/3288951","The Fabaceae TEN - Legume Taxonomy Working Group"
"Anthocleista grandiflora","tree","broadleaved","evergreen","C3","tropical",3,5,"BET-Tr","Anthocleista grandiflora","Accepted",FALSE,"Gilg","Anthocleista","species","Gentianaceae","wfo-0000538477","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:545611-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Anthonotha fragrans","tree","broadleaved","evergreen","C3","tropical",3,5,"BET-Tr","Anthonotha fragrans","Accepted",FALSE,"(Baker f.) Exell & Hillc.","Anthonotha","species","Fabaceae","wfo-0000212127","https://www.legumedata.org/taxonomy/taxon/2641708","The Fabaceae TEN - Legume Taxonomy Working Group"
"Anthonotha macrophylla","shrub/tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Anthonotha macrophylla","Accepted",FALSE,"P.Beauv.","Anthonotha","species","Fabaceae","wfo-0000212354","https://www.legumedata.org/taxonomy/taxon/2641717","The Fabaceae TEN - Legume Taxonomy Working Group"
"Anthospermum herbaceum","herb/shrub","broadleaved","evergreen",NA,NA,2,3,"ESH","Anthospermum herbaceum","Accepted",FALSE,"L.f.","Anthospermum","species","Rubiaceae","wfo-0000220101","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743380-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Anthyllis henoniana","tree","broadleaved","evergreen","C3","tropical",2,5,"BET-Tr","Anthyllis henoniana","Accepted",FALSE,"Coss. ex Batt.","Anthyllis","species","Fabaceae","wfo-0000194531","https://www.legumedata.org/taxonomy/taxon/2641983","The Fabaceae TEN - Legume Taxonomy Working Group"
"Antiaris toxicaria","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Antiaris toxicaria","Accepted",FALSE,"(J.F.Gmel.) Lesch.","Antiaris","species","Moraceae","wfo-0000538857",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
