"scientificName","PlantGrowthForm","LeafType","LeafPhenology","PhotosyntheticPathway","ClimateZone","param_count_before","param_count_after","PFT","AccSpeciesName","taxonomicStatus","New.accepted","scientificNameAuthorship","genus","taxonRank","family","taxonID","references","source"
"Lasiodiscus mannii","tree","broadleaved","evergreen","C3","tropical",3,5,"BET-Tr","Lasiodiscus mannii","Accepted",FALSE,"Hook.f.","Lasiodiscus","species","Rhamnaceae","wfo-0000442916",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Lauridia tetragona","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Lauridia tetragona","Accepted",FALSE,"(L.f.) R.H.Archer","Lauridia","species","Celastraceae","wfo-0001273975","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:997409-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Laurophyllus capensis","shrub","broadleaved","evergreen","C3",NA,2,4,"ESH","Laurophyllus capensis","Accepted",FALSE,"Thunb.","Laurophyllus","species","Anacardiaceae","wfo-0001050200","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:69824-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Lecaniodiscus cupanioides","tree","broadleaved","evergreen",NA,"tropical",2,4,"BET-Tr","Lecaniodiscus cupanioides","Accepted",FALSE,"Planch.","Lecaniodiscus","species","Sapindaceae","wfo-0000445972",NA,"The Sapindaceae TEN"
"Lecaniodiscus fraxinifolia","tree","broadleaved","deciduous",NA,NA,NA,3,"BDT","Lecaniodiscus fraxinifolia","Accepted",FALSE,"Baker","Lecaniodiscus","species","Sapindaceae","wfo-0000445971",NA,"The Sapindaceae TEN"
"Leipoldtia schultzei","shrub","broadleaved","deciduous","CAM",NA,4,4,"DSH","Leipoldtia schultzei","Accepted",FALSE,"(Schltr. & Diels) Friedrich","Leipoldtia","species","Aizoaceae","wfo-0001293515","https://caryophyllales.org/?q=cdm_dataportal/name/a4fc019f-94b9-4852-8675-537ccf024c4d","The Caryophyllales TEN -The Caryophyllales Network"
"Leonardoxa africana","tree","broadleaved","evergreen",NA,"tropical",NA,4,"BET-Tr","Leonardoxa africana","Accepted",FALSE,"(Baill.) Aubr<e9>v.","Leonardoxa","species","Fabaceae","wfo-0001060011","https://www.legumedata.org/taxonomy/taxon/2345855","The Fabaceae TEN - Legume Taxonomy Working Group"
"Lepidotrichilia volkensii","shrub/tree","broadleaved","evergreen",NA,"tropical",3,4,"BET-Tr","Lepidotrichilia volkensii","Accepted",FALSE,"(G<fc>rke) J.-F.Leroy","Lepidotrichilia","species","Meliaceae","wfo-0000443847",NA,"The Meliaceae TEN"
"Lepisanthes senegalensis","shrub/tree","broadleaved","evergreen",NA,"tropical",3,4,"BET-Tr","Lepisanthes senegalensis","Accepted",FALSE,"(Poir.) Leenh.","Lepisanthes","species","Sapindaceae","wfo-0000446268",NA,"The Sapindaceae TEN"
"Leplaea cedrata","tree","broadleaved","evergreen",NA,"tropical",NA,4,"BET-Tr","Leplaea cedrata","Accepted",FALSE,"(A.Chev.) E.J.M.Koenen & J.J.de Wilde","Leplaea","species","Meliaceae","wfo-0001333610","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77120943-1","The Meliaceae TEN"
